,PULocationID,trip_distance,fare_amount,tip_amount,total_amount,travel_duration_in_seconds,average_speed,average_fare,tip_fare_r,count,Borough,Zone,service_zone
152,158,2.307363944216535,11.101876875108916,2.609023506859848,16.788423377795777,798.0444233024524,10.506311679477973,5.583443862606914,0.24819202390008657,212321,Manhattan,meatpacking/west village west,Yellow Zone
153,159,3.4053694581280793,14.300492610837438,2.7409852216748756,18.914384236453216,981.7389162561576,12.29975379016958,5.153561648544347,0.20326774153592828,203,Bronx,melrose south,Boro Zone
154,160,6.83112359550562,27.578651685393258,5.857078651685391,38.04516853932583,1175.7640449438202,21.605280034732345,4.184342022769568,0.23344852960319823,89,Queens,middle village,Boro Zone
155,161,2.1175938418547253,10.792554456433665,2.6584745307618727,16.634112289488396,787.7694889518845,9.313089038135844,6.43258801457391,0.259162659386127,841682,Manhattan,midtown center,Yellow Zone
156,162,2.1466385062167714,10.618144389855471,2.6264583149022553,16.424747570856518,751.9451996689966,10.15601406702092,6.192549835272206,0.26061763624748974,768572,Manhattan,midtown east,Yellow Zone
157,163,2.1049579724959346,10.757594653499723,2.6340547765547075,16.51165797439421,782.7647424151832,9.541116469771643,6.312885797252419,0.25822420850282174,518470,Manhattan,midtown north,Yellow Zone
158,164,2.0609988600095597,10.25353351765692,2.506562379455429,15.94227625260798,723.4620301310881,9.933168614931503,6.261413454900265,0.259057765453466,464039,Manhattan,midtown south,Yellow Zone
159,165,4.1654430379746845,15.879746835443038,3.038734177215191,21.578987341772145,1019.2405063291139,14.009745077461128,4.616691227014866,0.2012292123617459,79,Brooklyn,midwood,Boro Zone
160,166,2.5124038821530266,11.37942382090641,2.5782570630417143,16.218114122251432,763.8019372366059,11.958341965084545,5.335548656312527,0.23591391777072065,104169,Manhattan,morningside heights,Boro Zone
161,167,3.872133333333335,15.52,2.985866666666667,20.51759999999999,1048.6666666666667,11.953733889957572,5.3562163415977695,0.2187922238251285,75,Bronx,morrisania/melrose,Boro Zone
162,168,3.592793791574284,14.402993348115299,2.97711751662971,19.757572062084137,942.5820399113082,13.995060612393187,4.879996986693552,0.21750202376575678,902,Bronx,mott haven/port morris,Boro Zone
163,169,3.08,12.88679245283019,2.8033962264150936,17.100566037735838,824.566037735849,12.452778526656747,5.178392813943491,0.2237674473563389,53,Bronx,mount hope,Boro Zone
164,170,1.9946660298971357,10.115972354882548,2.4796265579509034,15.70258390215691,714.8049869928169,10.02686808616486,6.3244997154990035,0.25816334396241625,643875,Manhattan,murray hill,Yellow Zone
165,171,5.029090909090909,17.59090909090909,3.5850000000000004,23.237272727272728,1059.2272727272727,16.29351158572053,4.2046609834446835,0.21506466137076974,22,Queens,murray hill-queens,Boro Zone
166,172,6.2,21.5,4.125,26.425,1488.0,14.837966360407433,3.4857142857142858,0.18865546218487395,2,Staten Island,new dorp/midland beach,Boro Zone
167,173,3.5903846153846164,13.878205128205128,2.9669230769230763,18.680897435897432,838.2948717948718,14.98973917292944,4.9318771523029925,0.2372070134333419,78,Queens,north corona,Boro Zone
168,174,4.826666666666666,17.770833333333332,3.4025,22.677500000000006,1118.2916666666667,15.515462556628824,4.196311238365077,0.1968958600909058,24,Bronx,norwood,Boro Zone
169,175,7.845000000000001,25.375,5.295000000000001,34.1925,1344.125,19.92308728913778,3.7293735029008914,0.21121221038322827,8,Queens,oakland gardens,Boro Zone
170,176,1.27,6.5,1.0,10.8,418.0,10.937799043062201,5.118110236220472,0.15384615384615385,1,Staten Island,oakwood,Boro Zone
171,177,4.770952380952381,19.452380952380953,3.870119047619047,25.651904761904742,1124.3809523809523,14.904140848937194,4.528662540513013,0.21545062199702625,84,Brooklyn,ocean hill,Boro Zone
172,178,3.7525,14.9,2.780499999999999,19.203000000000003,952.4,13.256375559620619,5.167408181858429,0.21969258136959974,20,Brooklyn,ocean parkway south,Boro Zone
173,179,2.9658504915600084,12.280281951400482,2.6899851604526006,16.844305323688097,786.7751808569839,13.843925720347883,4.86289996269927,0.23029477535900092,5391,Queens,old astoria,Boro Zone
174,180,6.690857142857143,29.714285714285715,4.936571428571429,38.257142857142846,1277.5142857142857,19.65225074110952,4.822216215176453,0.19323035050039686,35,Queens,ozone park,Boro Zone
175,181,3.0698522692659034,12.816935729515686,2.888515839171522,17.52118260737051,836.5431769722815,12.493044565332262,5.15685055381212,0.23762337106037115,13132,Brooklyn,park slope,Boro Zone
176,182,3.294166666666667,13.244791666666666,2.7794791666666665,18.060208333333325,843.5625,14.125343705267367,4.890373875381034,0.23271929636213676,96,Bronx,parkchester,Boro Zone
177,183,4.743846153846154,16.807692307692307,3.2346153846153842,22.594615384615388,949.6153846153846,17.0857097781163,4.567066612663435,0.24245704488712855,13,Bronx,pelham bay,Boro Zone
178,185,6.525833333333334,21.666666666666668,4.545,27.84583333333333,1220.2916666666667,18.827799341169,3.7839261091082625,0.2074661346077261,24,Bronx,pelham parkway,Boro Zone
179,186,2.0842806003485785,11.168369490578995,2.7532833244054253,16.95879278315767,854.0392580910484,8.983338348884494,6.411224745251438,0.2588743505976913,662615,Manhattan,penn station/madison sq west,Yellow Zone
180,187,1.045,6.375,1.23,8.780000000000001,381.0,10.323686647851567,6.673512506593987,0.19436813186813184,4,Staten Island,port richmond,Boro Zone
181,188,3.8067038216560496,15.248407643312103,3.1593789808917148,20.182149681528628,1016.8487261146497,13.19877576169357,4.732390470095178,0.2199842781468583,628,Brooklyn,prospect-lefferts gardens,Boro Zone
182,189,2.932974427994619,12.578061911170929,2.8133647375504696,17.138115746971813,837.2405787348587,11.938592381643533,5.2603941061768325,0.2375319957068105,2972,Brooklyn,prospect heights,Boro Zone
183,190,3.737507987220447,15.333067092651758,3.3722843450479205,20.594616613418502,1064.1485623003196,12.471331522229036,4.709667165905568,0.2274775002889089,626,Brooklyn,prospect park,Boro Zone
184,191,3.778260869565217,13.5,2.3578260869565217,17.617391304347827,679.9130434782609,18.330204302781592,4.211524690729869,0.16018449965100184,23,Queens,queens village,Boro Zone
185,192,5.918918918918919,19.58108108108108,4.264594594594595,26.90189189189189,1036.3783783783783,19.788213528947033,3.91847973633467,0.2250143491558231,37,Queens,queensboro hill,Boro Zone
186,193,2.451503558718862,10.806049822064058,2.356933570581249,15.244626334519726,687.5652431791221,13.338390376504416,5.323089180180106,0.23258755220526528,3372,Queens,queensbridge/ravenswood,Boro Zone
187,194,4.7764008620689715,38.76293103448276,7.744784482758632,53.27355603448278,984.1702586206897,18.883024432658285,9.314642229730865,0.2185997475878547,464,Manhattan,randalls island,Yellow Zone
188,195,4.305173116089612,16.883910386965375,3.7080040733197537,23.7917311608961,1034.7270875763747,14.735009628643203,4.600372545938065,0.2331216038275796,491,Brooklyn,red hook,Boro Zone
189,196,5.243277777777779,23.605555555555554,4.550592592592594,31.439666666666575,1013.2166666666667,18.47974749882187,4.911455872804946,0.21349902281325767,540,Queens,rego park,Boro Zone
190,197,5.713707865168536,33.630337078651685,6.415617977528092,43.977134831460724,806.6966292134831,27.549285987549666,6.872965961057885,0.2007555120224894,178,Queens,richmond hill,Boro Zone
191,198,4.621472081218276,16.903553299492387,3.6832487309644666,22.859644670050788,1066.8578680203045,14.97315833645239,4.195564794059269,0.22530684574983245,197,Queens,ridgewood,Boro Zone
192,199,4.97,19.166666666666668,2.8699999999999997,25.59,1334.6666666666667,13.567495886264796,4.539053922949628,0.12076054664289959,3,Bronx,rikers island,Boro Zone
193,200,5.870392156862744,19.431372549019606,4.476470588235292,26.88941176470588,1038.2156862745098,19.960708364792414,3.873407785325884,0.24467612705437658,51,Bronx,riverdale/north riverdale/fieldston,Boro Zone
194,201,6.995,24.75,5.6625000000000005,35.438750000000006,1555.25,17.716653620059443,3.817220971645798,0.27548111935133396,8,Queens,rockaway park,Boro Zone
195,202,2.920817051509772,12.428063943161634,2.8008525754884555,17.934333925399645,802.7939609236234,13.077324456139165,5.300370642550167,0.2463303201635271,563,Manhattan,roosevelt island,Boro Zone
196,203,5.300909090909092,17.272727272727273,2.9154545454545455,21.74727272727273,840.0,20.381581009142835,4.217810068720778,0.21664063067504868,11,Queens,rosedale,Boro Zone
197,204,3.1,11.0,2.45,14.75,432.0,25.833333333333336,3.5483870967741935,0.22272727272727275,1,Staten Island,rossville/woodrow,Boro Zone
198,205,8.2,26.27777777777778,4.567777777777778,33.51,1469.6666666666667,19.193741676756726,3.4716143908162613,0.2444063664399805,9,Queens,saint albans,Boro Zone
199,206,3.6127777777777776,14.277777777777779,2.7666666666666666,19.369444444444447,944.8333333333334,12.530212066904731,5.093607737200848,0.2204385789108011,18,Staten Island,saint george/new brighton,Boro Zone
200,207,6.015737704918035,22.483606557377048,5.46737704918033,32.52497267759565,1197.8469945355191,18.693998076918025,4.4149204989449435,0.25859366390806365,183,Queens,saint michaels cemetery/woodside,Boro Zone
201,208,6.895882352941177,24.91176470588235,5.648823529411764,34.779999999999994,1340.4705882352941,20.48578422633124,3.914304239178093,0.2583241553884138,17,Bronx,schuylerville/edgewater park,Boro Zone
202,209,3.539038734125952,14.101188926494837,3.1688099163992063,20.346412103331332,901.4664294599207,13.995046240507708,4.911083981664218,0.23939280644963673,34569,Manhattan,seaport,Yellow Zone
203,210,2.6746666666666665,11.7,2.7475555555555555,16.69866666666666,754.8444444444444,12.193169383939168,5.490630386725617,0.24961682712767164,45,Brooklyn,sheepshead bay,Boro Zone
204,211,2.2193105386359013,10.873904477206333,2.570297512800385,16.51797552946044,788.9470813852225,10.071936906624977,5.823448465050266,0.25084237369539786,161909,Manhattan,soho,Yellow Zone
205,212,3.889393939393941,14.598484848484848,3.2640909090909087,20.053484848484832,893.4848484848485,14.953989025332987,4.728188165273849,0.24013398082912735,66,Bronx,soundview/bruckner,Boro Zone
206,213,5.092586206896552,18.46551724137931,3.5684482758620693,25.089827586206905,1133.8793103448277,15.008896773882535,4.8181424322969795,0.21456069865353136,58,Bronx,soundview/castle hill,Boro Zone
207,214,4.247142857142857,14.857142857142858,3.758571428571429,21.167142857142856,804.5714285714286,16.947486691026274,4.822941760408539,0.2598508118532128,7,Staten Island,south beach/dongan hills,Boro Zone
208,215,11.84111111111111,47.01633986928105,8.090588235294113,61.0568300653595,1703.2091503267975,25.993729565273014,4.1058943576134475,0.17910527419637928,306,Queens,south jamaica,Boro Zone
209,216,5.3505106382978695,36.54893617021276,7.131361702127661,47.19910638297878,893.0127659574468,28.047645303847744,8.960497790301664,0.20535431487195094,235,Queens,south ozone park,Boro Zone
210,217,2.6155851063829796,12.415780141843971,2.481223404255321,16.530070921985825,731.6099290780141,12.552405347059551,5.763714165201698,0.2055602582702436,564,Brooklyn,south williamsburg,Boro Zone
211,218,5.091666666666666,17.75,3.7433333333333336,23.280833333333334,1016.0,18.20988090658068,3.9039434208501986,0.23082827362083166,12,Queens,springfield gardens north,Boro Zone
212,219,8.519113924050632,28.173417721518984,5.779620253164559,35.316582278481,1495.7848101265822,22.496273972315365,3.606105721567853,0.21089462140891665,79,Queens,springfield gardens south,Boro Zone
213,220,4.279999999999998,15.597457627118644,3.0890677966101703,20.82152542372881,908.8983050847457,15.61904436828599,4.707882635858549,0.22084025665299448,118,Bronx,spuyten duyvil/kingsbridge,Boro Zone
214,221,2.242,6.840000000000001,1.564,10.604000000000001,352.4,17.83820675114025,6.05717787653905,0.308232067150377,5,Staten Island,stapleton,Boro Zone
215,222,4.805714285714286,19.285714285714285,2.6157142857142857,24.458571428571428,1418.142857142857,14.197923235670828,4.1789384862473655,0.17032128329715576,7,Brooklyn,starrett city,Boro Zone
216,223,4.516174428104571,19.949466911764706,4.411380718954231,28.089446486928274,939.7377450980392,17.20017130526555,5.166366276563947,0.23867123871980947,4896,Queens,steinway,Boro Zone
217,224,2.246320923801729,10.577388877509218,2.483049467431455,16.018928973781236,709.8131401065137,11.584401233288402,5.612671570660814,0.2460540055624278,39056,Manhattan,stuy town/peter cooper village,Yellow Zone
218,225,3.327911646586345,13.555220883534137,2.919437751004016,18.359297188755043,916.5763052208836,12.681791320822171,4.846749414751481,0.22854365723813808,498,Brooklyn,stuyvesant heights,Boro Zone
219,226,3.613815386619753,16.617282261741906,3.472915770959545,22.475717542829205,982.3488372093024,13.530509852889205,5.149797649470679,0.22384325113988188,15351,Queens,sunnyside,Boro Zone
