,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Lon_Lat,datetime,year,month,day,day_of_week_name
23385,BROOKLYN,69,False,40.70614538300004,-73.95150100299998,POINT (-73.95150100299998 40.70614538300005),2020-10-06 20:55:00+00:00,2020,10,20:55:00,Tuesday
23386,BROOKLYN,70,False,40.853528832000045,-73.90272054899998,POINT (-73.90272054899998 40.853528832000045),2020-08-23 23:36:00+00:00,2020,8,23:36:00,Sunday
23387,MANHATTAN,33,False,40.82774366300004,-73.90438065399997,POINT (-73.90438065399997 40.82774366300004),2020-03-05 10:48:00+00:00,2020,3,10:48:00,Thursday
23388,QUEENS,100,False,40.820411060000026,-73.89332824199995,POINT (-73.89332824199995 40.820411060000026),2020-05-14 01:03:00+00:00,2020,5,01:03:00,Thursday
23389,BRONX,47,False,40.84599424500004,-73.88446815299993,POINT (-73.88446815299993 40.845994245000036),2020-10-15 02:22:00+00:00,2020,10,02:22:00,Thursday
23390,BRONX,47,False,40.65163996100006,-73.83790790099994,POINT (-73.83790790099994 40.65163996100006),2020-12-12 05:55:00+00:00,2020,12,05:55:00,Saturday
23391,MANHATTAN,28,False,40.810111068000026,-73.90711529999999,POINT (-73.90711529999999 40.81011106800003),2020-08-22 00:55:00+00:00,2020,8,00:55:00,Saturday
23392,QUEENS,103,False,40.68189408200004,-73.91979406899996,POINT (-73.91979406899996 40.68189408200004),2020-05-16 00:50:00+00:00,2020,5,00:50:00,Saturday
23393,BRONX,47,False,40.65233201600006,-73.94682624999997,POINT (-73.94682624999997 40.65233201600006),2020-06-12 23:00:00+00:00,2020,6,23:00:00,Friday
23394,QUEENS,104,False,40.85665355000003,-73.84387180799997,POINT (-73.84387180799999 40.85665355000003),2020-10-13 01:50:00+00:00,2020,10,01:50:00,Tuesday
23395,BROOKLYN,70,False,40.69659229800004,-73.78348808399994,POINT (-73.78348808399994 40.69659229800004),2020-08-23 23:36:00+00:00,2020,8,23:36:00,Sunday
23396,BRONX,42,False,40.772412907000046,-73.931729267,POINT (-73.931729267 40.772412907000046),2020-08-19 19:47:00+00:00,2020,8,19:47:00,Wednesday
23397,BROOKLYN,69,False,40.599037063000026,-73.75616305599993,POINT (-73.75616305599993 40.599037063000026),2020-07-24 15:07:00+00:00,2020,7,15:07:00,Friday
23398,BROOKLYN,67,False,40.65233201600006,-73.94682624999997,POINT (-73.94682624999997 40.65233201600006),2020-06-11 22:30:00+00:00,2020,6,22:30:00,Thursday
23399,MANHATTAN,24,False,40.646331289000045,-73.95865428799993,POINT (-73.95865428799993 40.646331289000045),2020-06-19 02:25:00+00:00,2020,6,02:25:00,Friday
23400,BROOKLYN,90,False,40.70676502500004,-73.79275705599997,POINT (-73.79275705599997 40.70676502500004),2020-05-10 19:27:00+00:00,2020,5,19:27:00,Sunday
23401,QUEENS,108,False,40.67604827000008,-73.95660616199996,POINT (-73.95660616199996 40.67604827000008),2020-07-21 12:45:00+00:00,2020,7,12:45:00,Tuesday
23402,BRONX,46,False,40.82406423700007,-73.90258296499997,POINT (-73.90258296499997 40.82406423700007),2020-10-25 02:45:00+00:00,2020,10,02:45:00,Sunday
23403,QUEENS,105,False,40.69612773800003,-73.93617093399996,POINT (-73.93617093399996 40.69612773800003),2020-05-31 18:49:00+00:00,2020,5,18:49:00,Sunday
